iter	Logloss
0	0.5811065006
1	0.5052731662
2	0.4598772404
3	0.4315999014
4	0.4050077134
5	0.3894924802
6	0.3790442991
7	0.3629725463
8	0.3539953765
9	0.3478506451
10	0.3391767596
11	0.3334259158
12	0.3250470102
13	0.3175976296
14	0.3137060985
15	0.3081701104
16	0.3053485354
17	0.3020137185
18	0.2972870728
19	0.294956575
20	0.2925711421	21	0.2906713993
22	0.2874600373
23	0.2839454317
24	0.278193632
25	0.2756962558
26	0.2737972436
27	0.2713298705
28	0.269885878
29	0.2630486174
30	0.2622908426
31	0.2597249375
32	0.2587411572
33	0.2546187862
34	0.2514542862
35	0.2490493482
36	0.2442431963737	0.2411283313838	0.2356014943939	0.2343352864040	0.234046031441	0.2335214619442	0.2310119938443	0.227533919244	0.2255408711
45	0.2232703061
446	0.2123892146447	0.208242737848	0.2100755273
449	0.203977512
50	0.20313942
51	0.2009151232
52	0.1988005342
53	0.1954710763
54	0.1952312214
55	0.1926722736
56	0.1924654351
57	0.1895620578
558	0.1794249645559	0.176272228560	0.181176823
61	0.1792751812
6262	0.1664373296363	0.1616209706464	0.1597487736565	0.1577603866	66	0.1544863918
67	0.1539477968	68	0.151859266969	0.1517022897070	0.1485832727171	0.1484776537272	0.1483780011
73	0.1459034507
74	0.1430044173
75	0.1402123418
76	0.1372674475
77	0.1371983439
78	0.1336915949
79	0.1312682291
80	0.1298646076
81	0.1277545215
82	0.1260922305
83	0.1244521857
84	0.1221719111
85	0.1209005386	86	0.1193119487	87	0.1171719788	0.1195904002
89	0.1194981976
90	90	0.1144682191	91	0.112896192	092	0.111857993	093	0.109875694	094	0.108632595	095	0.106893396	096	0.105114697	097	0.103947398	098	0.1023937602
99	0.1017689100	100	0.1010256101	101	0.1009845102	102	0.1002435103	103	0.0996494104	104	0.0985653105	105	0.09753114106106	0.096404940107107	0.09492398410108	0.093963240210109	0.092528293811110	0.09115630441111	0.090249905361112	0.089649962171113	0.089603464751114	0.089547699071115	0.089141709741116	0.088788647511117	0.086641556118	0.08921882388
119	0.08812792705
120	0.0868058093
121	0.08504074802
122	0.08345668339
123	0.08247354459
124	0.08162594159
125	0.08072990017
126	0.07992270918
127	0.07980830494
128	0.07910562747
129	0.07749515024
130130	0.073662278131131	0.0730750741132	0.071958943281133	0.071915143761134	0.071807791831135	0.071521841911136	0.070857031761137	0.069650560671138	0.069108136061139	0.067902572861140	0.06704653902141	0.06884352205
1142	0.066028466814143	0.064799828214144	0.064777092214145	0.063654124914146	0.062912697414147	0.062426235514148	0.061647350014149	0.061621670015150	0.061122438915151	0.060918997715152	0.06047851851153	0.059893039421154	0.059190762811155	0.058515955221156	0.058080663291157	0.057025430381158	0.057007937915159	0.056651516916160	0.055814369161161	0.05483501162	162	0.05433561163	163	0.05399712164	164	0.0534557165	0165	0.0529375166	0166	0.0524696167	0.05742063751
168	0.05740049094
169	0.05660255952
170	0.05630469308
171	0.05628911548
172	0.05552993764
173	0.05523562031
174	0.05521100349
175	0.05504666539
176	0.05474293956
177	0.05460655944
178	0.05401802739
179	0.05311749863
180	0.05268569004
181	0.05266741275
182	0.05211981588
183	0.0518802019
184	0.05101776744
185	0.0505190563
186	0.04991321677
187	0.04940719216
188	0.04917392764
189	0.04915294308
190	0.04905233209
191	0.04902121592
192	0.04848166557
193	0.04798569825
194	0.04737446541
195	0.04693010613
196	0.04675866718
197	0.04640565489
198	0.0458966788
199	0.04587870143
9774
